Subject;Session;treatment;Payoff;NumberCorrectSlider;pause_count;BDM;slider;internet2;i5;i10;i15;i20;age;male;study;semester;com_change;weekday;Morning;Noon;year;mon;time;fix;pfp;avg_inv;Internet1;Internet2;effort1;effort2;avg_time_task_1;avg_time_task_2
118;6;MoneyPfP;14;24;0;13;3;2;8;15;23;30;22;1;3;4;1;2;0;0;2016;1;0;0;1;19;0;1713;61;2;29;43
119;6;MoneyPfP;15;19;0;5;1;3;0;10;25;40;22;0;2;6;0;2;0;0;2016;1;0;0;1;19;0;3;65;77;28;23
120;6;MoneyPfP;13;20;0;6;1;1;0;0;0;0;19;0;9;2;1;2;0;0;2016;1;0;0;1;0;0;0;46;28;39;64
121;7;TimePfP;8;19;1;20;2;3;7;20;30;40;22;1;8;3;1;3;0;1;2016;0;1;1;0;24;40;0;46;23;38;28
122;7;TimePfP;8;18;0;15;5;1;1;1;1;1;25;0;8;5;1;3;0;1;2016;0;1;1;0;1;0;0;53;13;34;35
123;7;TimePfP;8;20;0;7;1;2;8;15;20;30;22;0;6;8;1;3;0;1;2016;0;1;1;0;18;0;0;72;0;25;
124;7;TimePfP;8;12;0;5;3;6;10;20;30;40;23;1;9;8;1;3;0;1;2016;0;1;1;0;25;0;0;60;9;30;32
125;7;TimePfP;8;22;0;6;2;2;0;0;0;0;19;1;12;2;1;3;0;1;2016;0;1;1;0;0;0;0;58;12;31;28
126;7;TimeGift25;8;7;0;6;5;3;10;20;30;40;29;1;9;6;1;3;0;1;2016;0;1;0;1;25;0;0;67;10;27;29
127;7;TimeGift25;8;16;0;5;1;5;10;20;30;40;25;0;8;6;0;3;0;1;2016;0;1;0;1;25;0;0;50;9;35;31
128;7;TimeGift25;8;17;0;5;2;2;5;10;15;20;22;0;8;3;1;3;0;1;2016;0;1;0;1;13;0;0;58;7;31;38
129;7;TimeGift25;8;13;0;8;3;1;5;10;15;20;26;0;7;10;1;3;0;1;2016;0;1;0;1;13;0;0;59;9;30;31
130;7;TimeGift25;8;15;2;4;1;3;7;12;17;25;22;0;4;6;1;3;0;1;2016;0;1;0;1;15;189;0;49;9;33;31
131;7;MoneyGift;14;17;4;7;1;2;10;20;30;40;24;1;3;2;0;3;0;1;2016;1;0;1;0;25;1402;1774;12;1;33;22
132;7;MoneyGift;14;16;0;5;1;2;10;20;35;40;25;1;2;7;0;3;0;1;2016;1;0;1;0;26;0;0;55;50;32;36
133;7;MoneyGift;14;11;0;15;7;4;5;10;15;20;20;0;2;2;0;3;0;1;2016;1;0;1;0;13;0;0;56;55;32;32
134;7;MoneyGift;14;11;0;2;6;4;10;20;30;40;26;1;5;1;0;3;0;1;2016;1;0;1;0;25;0;0;58;61;31;29
135;7;MoneyGift;14;24;0;5;3;5;5;15;25;40;26;0;2;2;0;3;0;1;2016;1;0;1;0;21;0;1280;83;23;22;22
136;7;MoneyPfP;13;14;0;20;5;1;10;15;30;40;21;0;7;6;1;3;0;1;2016;1;0;0;1;24;0;36;51;45;34;38
137;7;MoneyPfP;12;20;1;5;1;2;7;13;20;40;24;0;1;8;1;3;0;1;2016;1;0;0;1;20;286;1427;44;12;34;30
138;7;MoneyPfP;13;11;0;5;2;2;2;3;1;1;22;0;7;6;0;3;0;1;2016;1;0;0;1;2;0;460;46;37;39;36
139;7;MoneyPfP;14;17;0;5;4;5;8;15;22;30;23;0;12;8;1;3;0;1;2016;1;0;0;1;19;0;237;58;52;31;30
140;7;MoneyPfP;14;24;0;5;2;3;5;15;25;35;28;1;1;14;0;3;0;1;2016;1;0;0;1;20;0;1446;63;11;28;27
141;7;MoneyGift;14;19;1;6;7;3;5;10;15;20;20;1;1;2;0;3;0;1;2016;1;0;1;0;13;237;1320;47;19;33;24
142;7;MoneyGift;14;13;7;5;2;3;10;20;20;35;28;0;7;6;0;3;0;1;2016;1;0;1;0;21;227;431;40;41;38;33
143;8;MoneyGift;14;0;1;5;2;6;10;20;30;40;22;0;3;4;0;3;0;0;2016;1;0;1;0;25;122;1097;39;20;42;35
144;8;MoneyGift;14;4;3;10;2;5;5;20;25;40;29;0;8;10;0;3;0;0;2016;1;0;1;0;23;837;1376;16;9;58;43
145;8;MoneyGift;14;9;1;8;1;6;0;0;0;0;23;1;1;7;0;3;0;0;2016;1;0;1;0;0;1695;1763;2;0;49;
146;8;MoneyGift;14;7;0;4;2;2;5;10;15;20;21;0;3;6;0;3;0;0;2016;1;0;1;0;13;0;0;47;50;38;35
147;8;MoneyGift;14;18;4;15;4;2;0;0;0;0;22;0;6;8;1;3;0;0;2016;1;0;1;0;0;169;1795;55;0;29;
148;8;MoneyPfP;13;13;0;7;3;7;5;5;5;5;21;1;5;4;1;3;0;0;2016;1;0;0;1;5;0;1739;53;1;34;51
149;8;MoneyPfP;13;11;0;4;1;6;10;20;30;40;20;0;2;2;1;3;0;0;2016;1;0;0;1;25;0;747;49;30;36;34
150;8;MoneyPfP;14;15;0;3;1;3;5;15;23;50;21;1;1;2;0;3;0;0;2016;1;0;0;1;23;0;1759;60;1;30;22
151;8;MoneyPfP;16;20;0;5;4;4;5;10;15;20;24;1;6;8;0;3;0;0;2016;1;0;0;1;13;0;1561;76;5;24;46
152;8;MoneyPfP;14;15;0;4;1;5;10;20;30;40;27;1;2;10;0;3;0;0;2016;1;0;0;1;25;0;1788;59;0;30;
153;8;MoneyPfP;17;24;0;5;5;6;0;0;0;0;25;1;2;10;0;3;0;0;2016;1;0;0;1;0;0;1789;86;0;21;
154;8;TimePfP;8;12;0;6;2;1;1;3;5;6;25;0;5;11;1;3;0;0;2016;0;1;1;0;4;0;0;43;20;42;36
155;8;TimePfP;8;13;0;5;1;1;10;20;30;40;20;0;3;2;0;3;0;0;2016;0;1;1;0;25;0;0;49;16;36;35
156;8;TimePfP;8;16;0;5;4;1;5;15;30;40;20;0;5;6;1;3;0;0;2016;0;1;1;0;23;0;0;65;3;27;58
157;8;TimePfP;8;20;0;5;3;1;10;20;30;40;20;0;9;6;1;3;0;0;2016;0;1;1;0;25;0;324;54;2;33;39
158;8;TimePfP;8;21;0;20;7;6;2;10;20;30;32;0;8;12;0;3;0;0;2016;0;1;1;0;16;0;0;59;12;30;26
159;8;TimeGift25;8;19;3;5;1;4;8;15;20;30;19;1;6;2;1;3;0;0;2016;0;1;0;1;18;1174;271;18;1;33;22
160;8;TimeGift25;8;17;4;4;6;1;5;10;15;20;20;0;9;4;1;3;0;0;2016;0;1;0;1;13;325;0;48;11;30;29
161;8;TimeGift25;8;8;0;5;2;4;5;10;15;20;23;1;7;4;0;3;0;0;2016;0;1;0;1;13;0;0;36;7;49;38
162;8;TimeGift25;8;20;0;5;6;2;10;20;30;40;25;0;6;8;1;3;0;0;2016;0;1;0;1;25;0;0;60;11;30;27
163;8;TimeGift25;8;19;0;5;2;2;10;20;30;40;25;0;6;2;1;3;0;0;2016;0;1;0;1;25;0;150;71;4;25;33
164;8;TimeGift25;8;23;2;5;4;4;7;16;25;34;19;1;1;2;1;3;0;0;2016;0;1;0;1;21;343;207;50;3;29;27
165;8;TimeGift25;8;10;2;4;4;2;5;15;25;40;24;0;9;8;0;3;0;0;2016;0;1;0;1;21;195;0;49;10;33;28
166;9;Baseline;8;23;0;1;7;2;4;9;14;20;19;0;12;3;;1;1;0;2017;0;0;0;0;12;0;0;61;65;29;27
167;9;Baseline;8;21;3;4;1;1;0;15;28;40;18;1;1;1;;1;1;0;2017;0;0;0;0;21;637;394;38;52;30;27
168;9;Baseline;8;22;0;5;5;3;6;12;18;30;25;0;2;5;;1;1;0;2017;0;0;0;0;17;0;0;52;57;35;31
169;9;Baseline;8;11;3;15;3;1;10;20;30;40;36;0;8;15;;1;1;0;2017;0;0;0;0;25;282;357;33;35;45;41
170;9;Baseline;8;11;0;4;1;5;5;15;20;28;23;0;3;7;;1;1;0;2017;0;0;0;0;17;0;0;37;49;48;37
171;9;MoneyPfP2Per;21;16;0;12;4;5;10;15;20;30;24;1;1;7;;1;1;0;2017;0;0;0;0;19;0;0;64;66;28;27
172;9;MoneyPfP2Per;20;5;1;2;3;5;0;0;0;0;23;0;2;2;;1;1;0;2017;0;0;0;0;0;5;0;57;59;31;30
173;9;MoneyPfP2Per;17;3;0;8;2;3;5;7;10;15;23;0;7;10;;1;1;0;2017;0;0;0;0;9;0;0;47;46;38;39
174;9;MoneyPfP2Per;21;19;0;40;1;3;10;20;30;40;25;1;2;11;;1;1;0;2017;0;0;0;0;25;0;269;72;62;25;24
175;9;MoneyPfP2Per;20;15;0;10;2;6;10;20;30;40;23;0;7;9;;1;1;0;2017;0;0;0;0;25;0;0;58;64;31;28
186;10;Baseline;8;17;0;6;4;3;5;15;20;40;19;1;1;1;;1;0;1;2017;0;0;0;0;20;0;0;57;67;31;27
187;10;Baseline;8;14;2;6;1;3;10;20;30;40;22;1;4;4;;1;0;1;2017;0;0;0;0;25;1643;1265;2;13;77;40
188;10;Baseline;8;18;1;12;1;4;6;10;13;20;26;1;8;11;;1;0;1;2017;0;0;0;0;12;394;564;43;46;31;27
189;10;Baseline;8;15;2;7;1;6;5;10;10;10;25;0;9;13;;1;0;1;2017;0;0;0;0;9;1684;1791;2;0;54;
190;10;Baseline;8;21;0;13;1;1;10;20;30;40;23;0;7;6;;1;0;1;2017;0;0;0;0;25;0;321;58;55;31;27
191;10;Baseline;8;14;0;6;3;1;10;20;30;35;21;0;8;5;;1;0;1;2017;0;0;0;0;24;0;0;44;50;41;36
192;10;Baseline;8;16;0;6;4;2;6;12;20;30;27;1;9;11;;1;0;1;2017;0;0;0;0;17;0;23;58;65;30;27
193;10;Baseline;8;15;0;6;2;4;0;0;0;0;21;0;3;4;;1;0;1;2017;0;0;0;0;0;0;0;58;64;31;28
194;10;Baseline;8;22;0;10;2;4;2;5;8;10;19;0;4;2;;1;0;1;2017;0;0;0;0;6;0;0;57;59;31;30
195;10;Baseline;8;21;3;10;1;2;5;10;15;20;26;0;2;12;;1;0;1;2017;0;0;0;0;13;604;1029;37;26;32;28
196;10;Baseline;8;10;2;25;1;4;5;10;15;20;27;1;9;8;;1;0;1;2017;0;0;0;0;13;417;1222;35;17;39;34
197;10;MoneyPfP2Per;17;19;0;8;1;7;10;20;30;40;23;0;7;7;;1;0;1;2017;0;0;0;0;25;0;0;51;42;34;40
198;10;MoneyPfP2Per;13;4;0;1;5;4;10;20;25;30;58;1;5;15;;1;0;1;2017;0;0;0;0;21;0;0;25;28;71;64
199;10;MoneyPfP2Per;17;0;0;9;1;4;10;20;30;40;22;0;8;5;;1;0;1;2017;0;0;0;0;25;0;0;39;54;46;33
200;10;MoneyPfP2Per;21;21;0;4;5;2;8;15;25;35;22;1;3;7;;1;0;1;2017;0;0;0;0;21;0;0;63;69;28;26
